Age,Income,Credit Score,Loan Amount,Loan Term,Interest Rate,Employment Length,Home Ownership,Marital Status,Dependents,Loan Default
46,76861.4484075064,626,31587.577394683372,32,8.936703296134741,17,1,1,2,1
41,78687.4149367802,673,23096.781619107936,37,16.421248236865765,16,1,1,3,0
42,75928.65508123986,722,17848.01434765742,36,17.47565874172428,14,1,1,2,0
63,62082.38659851337,568,31876.204444329687,24,10.662826669226746,22,1,1,2,0
47,51463.176079350465,773,23139.4090493407,27,8.88057127862048,27,0,2,2,1
46,81825.16904900732,519,22883.811407750472,35,14.802109503392813,33,1,1,4,1
43,56010.176120251526,814,37763.18523104843,36,12.407229028090695,4,1,1,3,1
32,92332.38420978391,704,15577.293755480185,29,14.484456457993803,20,1,1,2,0
42,93141.14196049505,661,13803.733083791269,38,12.9476987437251,19,0,1,3,0
36,100991.13402419013,676,19856.8161378213,43,12.413727225142013,21,1,1,2,0
65,72148.21420468148,548,27944.722565262997,34,13.028806256763106,12,1,1,1,0
45,107580.77283451326,549,26576.03922911248,37,11.58280551416844,11,1,2,3,0
50,91418.00205199492,564,21350.737801477368,39,19.008908540630514,17,1,2,3,0
47,74869.19082792962,641,19810.829240176045,34,20.065633835427505,20,1,2,3,0
47,89891.67065563037,563,24993.04629879559,30,11.43698260168447,20,1,2,3,0
38,57514.47886503324,541,20437.396844804713,37,17.691343104954576,24,1,1,3,1
54,58997.29456469155,654,9715.393965481011,36,12.274492405984487,27,0,2,2,1
43,58408.871828745265,622,31912.844530422444,31,12.906522548978009,15,1,1,2,1
49,86780.17723340573,503,27884.255502390064,28,14.773936005411047,21,1,2,4,0
40,68117.5974054823,565,13521.837625985872,39,15.313875163556906,19,1,2,3,0
52,85691.9360408339,630,20186.52530896656,40,19.662503353167445,15,1,1,3,0
38,92993.60310741779,822,17455.266499494872,34,17.54903386875565,18,1,0,2,0
49,57899.91411411062,711,29967.94719267028,30,12.765550089693694,12,1,2,2,1
45,101533.74605775283,577,32642.31144524116,37,14.815385775284902,15,1,1,3,0
39,78369.9958148195,605,20844.221795612175,29,15.990996675153319,20,1,1,3,0
46,90254.48595807196,567,32748.425654773826,41,10.23372657049854,21,1,1,3,1
48,60513.244007262045,593,14763.315937081155,36,14.649636634275662,21,1,2,4,1
54,46542.30699494575,691,26858.24144607191,31,17.821182543360372,19,1,2,3,1
43,75556.79477891556,632,28986.49386685284,40,3.7340440761341354,15,1,1,2,1
49,76048.80563499533,734,24149.22182393597,26,14.340609983890165,25,1,2,3,0
53,74398.64636897574,552,18532.59830554232,42,11.340719979599413,25,1,1,2,1
38,92303.71035276132,621,23920.524774947753,31,15.06089279305638,19,1,1,3,0
52,84111.65590545547,526,22356.853760199316,24,9.091545207791892,25,1,1,2,0
54,75166.50035731355,497,24641.747034573582,33,14.191841351686051,24,1,1,3,1
49,82472.4222518444,625,24063.86315331775,27,17.390794788082903,13,1,1,3,0
44,77120.5439921487,428,27660.20377004598,34,15.4548534740903,33,1,1,3,1
37,79398.85585250083,408,25496.192551737702,39,16.225956939607247,31,1,1,4,1
44,68003.01438803828,548,26015.735801034094,30,14.546474800367863,33,1,1,3,1
50,43157.60439029042,703,25143.528635844108,17,11.354026831231302,38,1,1,4,0
37,77383.09665276678,595,20495.83239043224,35,13.93328275374545,18,1,1,4,0
53,52186.81142617748,768,31327.111923106466,22,17.77839248250254,21,1,1,4,1
51,79956.5126574907,599,24962.520633880467,36,12.975994661631562,24,1,1,3,1
48,63457.06442214991,687,32670.841170381995,42,13.810509969132275,14,1,1,4,1
39,87966.31829557866,589,23052.06938215924,31,14.061861963292566,19,1,1,3,0
47,81826.15747314677,691,27098.241665216294,25,14.107284701003055,22,1,1,3,0
56,56418.8495316238,626,21144.47848551074,33,12.436483437286435,25,1,1,4,1
42,84995.47207148233,502,19073.900091313004,40,15.83893243636514,32,1,1,4,1
57,96395.74918917535,519,17891.83622351256,38,14.814645977646968,26,0,1,3,1
46,80206.40531846919,491,22769.90695184128,31,17.439914285343452,23,1,1,3,1
61,74463.73741111765,533,13181.063367935285,40,14.984340663997271,22,0,0,4,1
59,90442.82267148173,554,18701.253651293744,19,16.670828828382927,23,1,2,1,1
38,101413.40294942872,702,24332.445359944213,32,18.143585514325512,21,1,1,3,0
58,85525.00857353114,529,23062.378958129757,24,14.148398435545202,20,1,1,2,0
53,79995.96938696665,750,31440.2919457019,27,12.873947569423535,23,1,2,4,0
54,80599.78345239232,635,19675.53946652808,35,11.752662291924864,21,1,1,2,1
43,72557.71813479436,687,35060.283978224455,44,8.736911503878623,8,1,1,3,1
53,82835.38006654891,649,26951.10817942371,34,11.453899706298248,21,1,2,2,1
42,94926.2390604143,477,23096.96018160081,33,16.326513855658316,26,1,2,4,1
44,74219.89305377084,761,38069.06471774934,32,11.277140267876925,11,1,1,1,1
47,74166.8785357661,444,31756.009087901923,36,17.129349355736515,14,1,2,4,0
48,70513.71133049898,467,14971.525413483954,37,19.985543069539055,22,1,1,3,1
37,71044.14435828502,521,30317.752794937755,33,14.607416929612574,30,1,1,4,1
36,115163.78025306552,516,22468.427322394098,30,10.76958133214491,14,1,1,2,0
64,91511.861928796,413,16917.08644880596,34,19.894862978798464,29,0,1,3,1
46,86644.65126419517,543,26890.05346323335,34,16.0535891198805,29,1,1,3,1
51,75974.67254216873,645,27232.17885487772,29,16.534883216970698,16,1,2,3,1
39,41404.46706751081,727,13965.849487642183,26,20.5282399442316,18,1,1,2,0
46,67635.56115896643,629,37000.363419352674,26,12.337597649643282,13,1,1,3,1
52,93696.13929106497,640,24954.70167277496,26,14.175558523386202,22,1,2,4,0
59,95596.77312463208,627,27873.562980897335,29,15.411330367353472,16,1,2,2,0
58,53713.34827248771,587,31070.447639787242,31,18.25179084433256,23,1,1,4,1
54,40419.23436839323,547,17349.518275023067,33,16.816678287983514,20,1,1,4,1
52,74533.20237134372,483,8451.733136009741,40,19.114112827086974,31,1,2,4,1
42,96057.82422908967,675,26761.880895101527,41,10.25207479843587,14,1,2,4,0
53,75853.00869722894,609,28011.989328884374,44,12.979231210697936,19,1,1,3,1
40,87043.25265615534,608,13971.14302319012,40,11.87689574652867,20,0,1,3,0
35,78164.11593051397,711,19197.08584337882,33,15.884229177177751,20,1,1,2,0
39,50227.55867516283,613,15058.827037308434,39,16.12632834677799,20,1,1,3,0
48,83890.77765424745,626,18688.290361211857,46,9.628103223898048,28,1,1,3,1
68,24596.1059368959,706,30522.061607614338,20,13.78096506472969,31,1,1,2,0
39,105820.18502811424,672,22948.609482105912,42,4.8987977472223045,19,1,1,3,0
51,50038.94101708199,575,18632.758394018274,36,15.081988728666424,22,1,1,4,1
43,59922.528733279985,630,32230.890279574523,24,9.172413607285137,24,1,1,3,0
47,53449.2134973475,502,20516.606548169082,31,18.805367609276068,25,1,1,4,1
53,82361.15309913676,618,26874.59872739319,27,13.661094883475256,20,1,2,4,0
56,91464.61040110489,615,23967.56909791851,43,14.42907788540945,17,1,1,2,1
35,103315.54978727827,683,18106.958700842923,36,12.643218053922064,25,0,1,2,0
42,53190.06067576517,638,13826.508478399883,29,15.5280441169633,14,1,1,3,0
48,107477.95314168614,462,24452.751631098057,42,9.383269572221057,9,1,1,2,1
56,59554.55365953418,593,24177.859464816058,33,16.585260546179914,19,1,1,3,1
59,50519.86844575037,707,26424.51977657405,24,18.857323131413068,28,1,1,3,1
40,93632.12494703727,685,18876.19814818164,48,17.499880487606617,20,1,1,2,0
46,97914.06713495303,574,27037.505786325037,46,10.170949502284017,20,1,1,2,1
36,92184.02581658847,556,31858.292619348667,36,14.120555821695504,20,1,1,4,0
52,88940.88016110698,382,28756.125597481205,27,16.118406156349145,26,1,1,3,1
59,67098.8782946256,466,24259.34565128044,20,15.40041057349776,23,1,2,3,0
42,80156.5257289176,760,30302.84039547755,35,11.234093403287392,30,1,2,3,1
48,62870.19621666689,763,32885.859969854064,33,16.741707728010038,15,1,1,3,1
51,100165.33790234178,478,30948.82153030805,36,16.3795735258962,18,1,2,4,0
37,79359.9681369581,505,27622.536953659874,36,14.595107226883988,25,1,1,3,1
50,73694.1767973889,645,28118.447095974127,32,8.550659917650698,22,1,1,2,0
46,111062.49420910417,563,25202.492915483766,30,8.903714606461566,21,1,2,5,0
44,75486.76829688436,562,24766.834292650317,38,16.8975822487457,30,1,1,3,1
54,89237.48698133288,536,15474.729305577785,45,14.820087750864989,25,1,1,4,1
52,59252.93803129139,514,26524.86552742895,43,10.03549052105988,14,1,0,4,1
42,52584.1255539048,778,29442.51876626787,44,10.078272693312417,6,1,1,4,1
55,84029.36578592716,559,24075.479855595353,26,14.291611710547198,19,1,1,1,0
62,48504.998081440404,539,28681.848556029923,20,12.92330825823792,26,1,1,3,0
42,105000.7727366112,526,25800.31888470457,26,11.101899923210865,18,1,2,4,0
58,98410.07134672554,622,29280.511343180624,33,17.332197866658767,12,1,3,4,0
37,53021.214853693426,586,15893.565812054652,40,12.367135762330573,20,1,1,3,0
46,60972.48392811668,535,18531.95976053797,48,16.225880327014252,18,1,1,3,0
50,67076.31021337416,652,23166.489695967113,38,12.70096037297017,8,1,0,3,1
39,139340.70216933783,623,28032.79181566352,40,12.471297859365336,6,1,2,4,0
40,127749.48059550396,516,22104.882017034488,34,8.80401762703403,16,1,2,3,0
54,95846.09276738345,650,26119.40541697699,30,20.59773224696541,13,1,1,3,0
39,126130.71246774698,598,13925.91267811685,43,8.353302306755703,20,0,2,3,0
35,110049.79835387113,756,15855.883558385847,46,15.695859912690478,24,1,1,2,0
60,66282.43129243245,585,11772.55604164878,31,18.060955342979696,32,1,1,4,1
48,130042.33605680092,636,27372.557885426064,35,17.96840818946994,22,0,2,4,0
39,76763.04928777619,720,12061.356318548653,41,16.569703253050594,18,1,1,2,0
47,83248.17718199085,595,17191.626996935425,42,11.212126148885343,33,1,1,5,1
44,95985.87694896488,614,25293.31840157371,33,13.664723201845003,19,1,1,3,0
57,68043.84721158724,683,30489.557082291663,35,15.40809986503093,17,1,2,4,0
